class,sigmoid_output,softmax_output
1,[0.03629458 0.950538  ],[0.00195591 0.998044  ]
1,[0.04475664 0.9793224 ],[9.8830112e-04 9.9901164e-01]
1,[0.03189914 0.9840201 ],[5.3480751e-04 9.9946517e-01]
1,[0.15673754 0.9188334 ],[0.01615392 0.98384607]
1,[0.09769171 0.8948577 ],[0.01256135 0.9874386 ]
1,[0.08422276 0.87099576],[0.01343853 0.9865615 ]
1,[0.03912488 0.96696156],[0.00138929 0.99861073]
1,[0.03405183 0.94317615],[0.00211935 0.9978807 ]
1,[0.05452863 0.94769794],[0.00317282 0.9968272 ]
1,[0.05689634 0.96330345],[0.00229293 0.997707  ]
1,[0.02182097 0.9762481 ],[5.4244912e-04 9.9945754e-01]
1,[0.03003901 0.9470452 ],[0.00172868 0.99827135]
1,[0.01523771 0.97973675],[3.1992592e-04 9.9968004e-01]
1,[0.05845376 0.95159566],[0.00314799 0.996852  ]
1,[0.05385899 0.9672546 ],[0.00192343 0.99807656]
1,[0.03023737 0.97313005],[8.6020114e-04 9.9913979e-01]
1,[0.01647588 0.9943023 ],[9.5986012e-05 9.9990404e-01]
1,[0.01205157 0.9914978 ],[1.04592844e-04 9.99895453e-01]
1,[0.0770852  0.91232115],[0.00796314 0.9920368 ]
1,[0.04293554 0.97533923],[0.00113301 0.99886703]
1,[0.04550734 0.96281195],[0.00183811 0.99816185]
1,[0.02173528 0.9752236 ],[5.6415558e-04 9.9943584e-01]
1,[0.03880379 0.9550239 ],[0.0018976 0.9981025]
1,[0.0265881 0.9487653],[0.00147284 0.99852717]
1,[0.02387513 0.95330054],[0.00119675 0.99880326]
1,[0.05774278 0.9117786 ],[0.00589447 0.99410546]
1,[0.02732587 0.96652526],[9.7204966e-04 9.9902797e-01]
1,[0.11553146 0.8889384 ],[0.01605757 0.98394245]
1,[0.09202696 0.92775166],[0.00783112 0.99216884]
1,[0.05511722 0.9413465 ],[0.00362141 0.9963786 ]
1,[0.02014836 0.96303964],[7.8854768e-04 9.9921143e-01]
1,[0.03985417 0.94221044],[0.00253941 0.9974606 ]
1,[0.02645772 0.96072865],[0.00110966 0.99889034]
1,[0.01832391 0.9755358 ],[4.6787938e-04 9.9953210e-01]
1,[0.01320096 0.9822733 ],[2.4136095e-04 9.9975866e-01]
1,[0.01464339 0.97930384],[3.1396764e-04 9.9968600e-01]
