,class,sigmoid_ouput
0,1,[0.02212521 0.96355194]
1,0,[0.98783547 0.00993836]
2,0,[0.98691314 0.00739974]
3,0,[0.9662112  0.04402434]
4,0,[0.9776929 0.0370592]
5,0,[0.98377    0.01638482]
6,0,[0.9827863  0.01369293]
7,1,[0.02270971 0.95744145]
8,0,[0.9738787  0.04156776]
9,0,[0.8568326 0.1429103]
10,0,[0.98897374 0.03094238]
11,0,[0.9980172  0.00224461]
12,0,[0.97363216 0.03092723]
13,0,[0.9720424  0.02567202]
14,0,[0.9839882 0.0247533]
15,0,[0.9640146  0.03998919]
16,0,[0.95004493 0.03329221]
17,0,[0.9170971  0.09232677]
18,0,[0.93484133 0.03823052]
19,0,[0.97122264 0.02958519]
20,0,[0.9790218  0.01939623]
21,0,[0.99582577 0.00712782]
22,0,[0.99618995 0.0072865 ]
23,0,[0.9694536  0.03728764]
24,0,[0.9619595  0.02180105]
25,0,[0.9832978 0.0084451]
26,0,[0.96855885 0.02327297]
27,0,[0.9816735  0.03419182]
28,0,[0.977503  0.0308578]
29,0,[0.7708152  0.25888777]
30,0,[0.95167094 0.06386726]
31,0,[0.9820786  0.01818299]
32,0,[0.99258775 0.00595719]
33,1,[0.01790969 0.9749834 ]
34,0,[0.98749346 0.00860976]
35,0,[0.9947615 0.0051247]
36,0,[0.98731834 0.00884733]
37,0,[0.8581137  0.14088334]
38,0,[0.98227894 0.03006028]
39,0,[0.9903082  0.01100028]
40,0,[0.98635614 0.01082664]
41,0,[0.96009827 0.04045349]
42,0,[0.9899917  0.00813928]
43,0,[0.9368768  0.07484451]
44,0,[0.99721646 0.00225259]
45,0,[0.99783045 0.00198164]
46,1,[0.03827654 0.9378762 ]
47,0,[0.9491684  0.04837719]
48,0,[0.98627263 0.02132162]
49,0,[0.95705074 0.02198623]
50,0,[0.9696406  0.03393633]
51,0,[0.99592763 0.00465649]
52,0,[0.9915485  0.01868841]
53,0,[0.9795323  0.02761047]
54,0,[0.9351428  0.02691448]
55,0,[0.99533564 0.00357449]
56,0,[0.99308175 0.016909  ]
57,0,[0.98581576 0.01238198]
58,0,[0.99625957 0.00325974]
59,0,[0.96673644 0.04090454]
60,0,[0.97413087 0.03903691]
61,1,[0.05084788 0.9596953 ]
62,0,[0.9763189  0.02668804]
63,0,[0.99725574 0.00342249]
64,0,[0.97721386 0.02031046]
65,0,[0.8403571  0.12624146]
66,0,[0.987133   0.02600825]
67,0,[0.9786708  0.01947187]
68,0,[0.992695   0.00696041]
69,0,[0.9784393  0.02613612]
70,0,[0.8187428  0.09634993]
71,0,[0.9804977  0.01851879]
72,0,[0.99071324 0.01090098]
73,0,[0.98816746 0.01073798]
74,0,[0.98406154 0.03062467]
75,0,[0.9886514  0.01024937]
76,0,[0.99606603 0.00305813]
77,0,[0.93389386 0.08800086]
78,0,[0.9813048  0.01710579]
79,0,[0.903479   0.07969448]
80,0,[0.98952895 0.00939524]
81,0,[0.98924667 0.01161708]
82,0,[0.99069035 0.00831935]
83,0,[0.9722917  0.03551891]
84,0,[0.9851158 0.0183003]
85,0,[0.9754675  0.01975296]
86,0,[0.99110025 0.00380644]
87,0,[0.95935446 0.06098446]
88,0,[0.9897399  0.00761212]
89,0,[0.9606953  0.03863685]
90,0,[0.9732512  0.04148152]
91,0,[0.9630831  0.03847386]
92,0,[0.9806533  0.01742109]
93,0,[0.97703344 0.02270617]
94,0,[0.96677655 0.0560581 ]
95,0,[0.9950237  0.00579431]
96,0,[0.78279686 0.32582498]
