item,class,prediction0,prediction1,direct_prob_0
0,0,1.0686345, 0.15982893,0.8122267607382875
1,0,3.294972, -3.2591784,0.997829581810393
2,0,3.8328488, -3.5713756,0.9958956353188672
3,0,3.1314778, -3.682592,0.9970271557275053
4,1,-0.789468, 1.3680037,0.2309608425386519
5,0,1.6625084, -0.32494673,0.9619655295486705
6,1,-1.6774573, 2.665762,0.12516551006036117
7,0,2.2026856, -1.5871929,0.9897688989275029
8,0,-0.0861863, 0.6870439,0.3534198133305583
9,1,-2.016838, 3.0673196,0.11511509370210526
10,0,1.4587431, -1.714444,0.9878344738401716
11,0,2.4663684, -3.0401742,0.9985065011058374
12,0,1.878739, -2.129672,0.9899632672295846
13,0,3.1411285, -3.0876596,0.9981618617383538
14,0,1.9412012, -1.3231133,0.9878698326831047
15,0,2.4182224, -2.9396517,0.9985240633003044
16,0,2.2987754, -2.2301252,0.9951267659208838
17,0,2.5448716, -2.4165235,0.9981794236836161
18,1,0.07569021, 0.03930632,0.7462310889846318
19,0,1.3883109, -1.2421104,0.9767365760908012
20,0,2.2028883, -2.3203146,0.9949563746583499
21,0,3.5876372, -3.5945022,0.9962352096986918
22,0,1.8298922, -1.7465961,0.9895652247759373
23,0,2.4575248, -2.4614604,0.998067004318041
24,1,-0.67921233, 1.1205235,0.3083730999969848
25,0,1.9002469, -0.7088414,0.9716819671950669
26,0,3.0099273, -3.2173634,0.9981438696934335
27,0,2.9808526, -2.4300816,0.9985009733168687
28,0,3.2628014, -2.9346557,0.9981815753244674
29,0,1.7846229, -1.5216578,0.9887486304020927
30,0,2.1421387, -2.0741835,0.9913228981573431
31,0,1.8622758, -2.510722,0.9923069057125886
32,0,2.7408397, -2.7460148,0.9985461483119771
33,0,1.2430711, -1.2213976,0.9719981864798178
34,0,2.782027, -2.8470614,0.9985017602241557
35,0,3.4565299, -3.3343866,0.9973134304946165
36,0,2.0343342, -2.619529,0.9961468026233267
37,0,2.856642, -2.3743804,0.9984846541666984
38,0,1.7182853, -1.6732374,0.9892188742924795
39,0,2.5022728, -2.1246588,0.9963043145063277
40,0,2.2926247, -1.7716842,0.9905548592780664
41,0,3.3631463, -3.16328,0.9978809870367343
42,0,3.5542028, -3.9787953,0.9957906519324145
43,0,2.7476559, -2.2145724,0.9981304464898995
44,0,2.41702, -3.0424702,0.9984989462976429
45,0,2.9272807, -2.1290417,0.998213414945193
46,0,1.7047032, -1.8756471,0.9895722166344526
47,0,1.7378161, -1.3199414,0.9858267377099227
48,0,2.9574502, -3.1102567,0.9982549331115091
49,1,-1.4241282, 1.6346285,0.18248962201821206
50,0,3.4666817, -3.2993734,0.997381386251942
51,0,1.9392967, -1.5355632,0.9893135693781354
52,0,1.3386501, -0.94310296,0.9685726958880626
53,0,1.2225391, -0.5979401,0.956041352588436
54,0,1.6151782, -2.0401208,0.9895704275320908
55,0,2.7478302, -2.0701742,0.99757463369257
56,0,3.5800452, -3.0337243,0.9976964944723479
57,0,3.639531, -3.5884564,0.9961440627420968
58,0,2.954978, -2.963144,0.9983411071076996
59,0,1.8341845, -1.7821356,0.989602246090744
60,0,2.7130842, -1.5353743,0.991398823017071
61,0,2.1321151, -2.057652,0.9911064240377094
62,0,2.0079944, -1.9656723,0.9900087865031512
63,0,2.177188, -3.0793405,0.9982303095930687
64,0,2.4196346, -2.0096557,0.9939844329425147
65,0,2.093181, -1.4740926,0.9894049063601252
66,0,1.715299, -1.881009,0.9895850807970612
67,0,2.1513312, -1.7547407,0.9899726688243092
68,1,0.1918435, 1.1330237,0.3417990440140736
69,0,1.4265065, -0.9025196,0.9697212845121879
70,0,2.765619, -2.5408607,0.9985368750657329
71,0,1.7554855, -1.5110441,0.9885177091240864
72,0,3.2712667, -3.0915596,0.9980673251280785
73,0,0.8776267, -0.551314,0.9166233945759236
74,0,3.1046376, -3.6545007,0.9971781622335968
75,0,1.306145, -1.0292464,0.9694533420157513
76,0,1.5362594, -1.294718,0.981813569127257
77,0,3.0093496, -2.6863267,0.998434730410551
78,0,3.2333407, -2.6088734,0.9983201418930032
79,0,-0.13153814, -0.20084472,0.770168771359995
80,0,2.196601, -1.9724833,0.9910488939969252
81,0,2.0867739, -2.2918038,0.9929116303752731
82,0,2.4599345, -2.4403567,0.998008326246351
83,0,2.6743987, -2.6408474,0.9985473549065512
84,0,1.7162275, -1.0649672,0.9786377354327862
85,0,1.0443513, -0.5643306,0.9399174314947754
86,0,2.9034524, -3.206544,0.9982152580313312
87,1,-1.623941, 1.9875066,0.1780140846727397
88,0,3.1480265, -3.5134153,0.9975356876181113
89,0,3.0452487, -2.835542,0.9983467876950787
90,0,3.1838145, -3.2668478,0.9979563391098966
91,0,3.6397946, -3.0045974,0.997602189898399
92,0,0.8172284, -0.89843273,0.9499991977675227
93,0,2.054415, -1.838592,0.9899003074431588
94,0,2.5450215, -2.4833982,0.9983173667044587
95,0,1.6582061, -1.068729,0.9777962063071468
96,0,2.7563875, -3.1193862,0.9983663697764098
97,0,3.2743597, -2.5690339,0.9983055410394492
98,0,3.1016593, -3.3667579,0.9979003049648156
99,0,0.9364372, -1.3949457,0.9662465198034508
100,1,-2.6664395, 4.7262006,0.11461781734292192
101,0,2.364661, -2.16739,0.995215369002788
102,0,1.653165, -2.2351377,0.989628990782514
103,0,4.95526, -4.024571,0.9874567106069142
104,0,3.7420673, -3.1582255,0.996886584474891
105,0,3.1705418, -3.0041811,0.9981960410202099
106,0,2.1122768, -1.6869322,0.9897886444416527
107,0,2.0411086, -1.7047088,0.9897194391667791
108,0,1.928196, -2.0213592,0.9898913679168834
109,1,0.28255177, -0.40812463,0.8109610726790026
110,0,1.504114, -1.2294637,0.9793064066894462
111,0,2.2148423, -1.7076285,0.9900313359167542
112,0,2.6344495, -2.5589747,0.9984972856184793
113,0,4.2426176, -3.1566758,0.9957283815095331
114,0,1.4663544, -1.8940948,0.989026843472257
115,0,3.815201, -2.6754906,0.9975757951507269
116,0,3.553943, -3.2860308,0.9971610888574924
117,0,-0.4158271, 0.7936382,0.3378085123255985
118,0,3.526158, -2.0865047,0.9967648132893562
119,0,2.44758, -1.7148461,0.9912284984193344
120,0,2.372378, -2.3134906,0.9968075232802225
121,0,0.79234344, -0.8315175,0.9439766887396608
122,0,1.6711779, -2.080758,0.98961495383861
123,0,2.631759, -2.9216888,0.9985319834151976
124,1,-0.7884947, 1.9228371,0.184327641070263
125,0,2.9879653, -2.4464402,0.9984995546738175
126,1,-0.27093866, 0.86895907,0.33884622411945187
127,0,0.7787861, -0.21509176,0.8306083291481895
128,0,2.4727554, -2.5904458,0.9983713961125245
129,0,2.0697591, -2.0102549,0.9904058423102002
130,0,2.1925724, -1.8310984,0.9903152742773099
131,0,1.884705, -1.7711062,0.9896323039802293
132,1,-1.0459124, 1.7205486,0.1844091619613794
133,0,0.4560308, 0.13950399,0.7756178792574717
134,0,1.5763533, -2.0264897,0.9895277928288374
135,0,4.0092974, -3.9207425,0.9955799159002103
136,0,1.8304311, -1.8922867,0.9896622544960696
137,0,1.4931239, -1.4631025,0.9848137270218825
138,0,3.0954053, -3.3789158,0.9978879931605789
139,0,2.583478, -2.2950473,0.9979221451947681
140,0,1.6625954, -2.250033,0.9896566295098047
141,0,3.1266918, -2.4862409,0.9984190197620838
142,0,0.17188111, -0.13957904,0.7905989777878084
143,0,1.512121, -1.7346659,0.9884954856673398
144,0,1.4319376, -1.2546033,0.9782439448569292
145,0,-0.21842481, -0.45651123,0.7897985089044859
146,1,-2.7440622, 3.7464309,0.11476180102351256
147,0,-0.06902738, 0.52475,0.3826833196357568
148,0,3.2687979, -2.04441,0.9978044909962335
149,0,3.6565645, -3.2054706,0.9970545855666139
150,0,3.8182945, -2.9144971,0.9972063109773959
151,0,2.83734, -1.98177,0.9974615279982302
152,0,3.0142996, -2.5666244,0.9984711887152413
153,0,1.6159415, -1.7485622,0.9891424825479664
154,0,4.358892, -3.5070767,0.9955396941672419
155,0,0.4234232, -0.3372479,0.8139503723978129
156,0,2.9075902, -2.5348332,0.9985244700718957
157,0,2.620881, -2.3287976,0.9981389021098277
158,1,-2.0469606, 2.9222865,0.11525932214780368
159,0,3.5434623, -2.77789,0.9980511650373529
160,0,-0.02872748, 0.69563353,0.35644952797304075
161,1,-2.378997, 2.7944705,0.1150867546865849
162,0,1.6799953, -1.2772753,0.9840440736316476
163,0,0.384333, 0.68248177,0.4160297567313485
164,0,2.9026616, -3.0013533,0.9983533772042774
165,0,2.2204468, -2.0408697,0.9918280664727185
166,0,4.527277, -3.004295,0.9953033094635084
167,0,-0.1541558, 1.3089793,0.32345340671069034
168,0,3.4731681, -3.1118896,0.9977818571698679
169,0,2.3860302, -2.0438855,0.9939584897108391
170,0,2.9945292, -3.0355399,0.9982783286115667
171,0,1.4996214, -1.1173093,0.9760648512647686
172,0,2.5006437, -3.406925,0.9979298660474656
173,0,0.3446874, -0.08720289,0.7956891647086293
174,0,1.6962212, -1.6142726,0.9888767980313535
175,0,2.6491122, -1.4286047,0.9900335677954054
176,0,0.9214906, -1.0208011,0.9588538028617449
177,0,2.4051948, -2.310439,0.9970491833101891
178,0,2.8316808, -2.7414572,0.9985155619612525
179,0,1.9717379, -2.2429304,0.9910487069782298
180,0,0.48586136, -0.55622387,0.8486581981504798
181,0,3.4227087, -3.8156526,0.9961033549715854
182,1,-2.488064, 3.2499077,0.11493301463718307
183,0,3.0351377, -3.0652049,0.9982377926432042
184,0,3.4632735, -3.3273895,0.9973140557203581
185,0,1.3997821, -2.0801022,0.9891378820379191
186,0,2.5741394, -2.4019077,0.9982112036059575
187,0,2.2542655, -3.1212144,0.9983278634475176
188,0,0.8317614, -0.6431045,0.926327643922154
189,0,3.2661622, -2.40953,0.9983192856510225
190,0,1.0714452, -1.0377944,0.9634826164891818
191,0,3.3835433, -3.5287304,0.9969437752701713
192,0,3.953691, -3.6695817,0.9957466047996254
193,0,1.2348409, -2.2038798,0.9878562806129019
194,0,2.4389713, -2.3903403,0.9977293197743511
195,0,1.748697, -1.5546379,0.9887824629295997
196,0,1.6475575, -1.8706927,0.9895017404617864
197,0,-0.26763326, -0.5425835,0.7916995976288764
198,0,4.3544064, -3.9558327,0.9950950727844751
199,1,-2.5805974, 3.9049466,0.11475077884051636
200,0,1.6976157, -1.9022056,0.9895846585219671
201,0,2.7701657, -2.4320219,0.9984872308384248
202,0,1.575566, -1.5666637,0.9876005874696582
203,0,2.6769514, -2.0968573,0.9973855062930571
204,0,2.5556448, -2.9802835,0.9985269560843536
205,0,2.2753816, -2.8198764,0.9983593188322857
206,0,3.5565917, -3.6270149,0.9962349123343417
207,0,1.9939117, -1.4199744,0.9889650891299485
208,0,3.0841033, -3.043197,0.9982226733649802
209,0,2.2018623, -1.9198563,0.9907642170240227
210,0,2.340268, -1.8932881,0.9917269845337227
211,0,1.723121, -1.450366,0.9876958974204447
212,0,-2.0688844, 2.4927187,0.12109355286288885
213,0,0.2461793, -0.02653747,0.7838081730110298
214,0,2.1604156, -1.5806814,0.9897002276403727
215,0,1.1848598, -0.14271447,0.8788506329739061
216,0,2.4029663, -2.3672223,0.9974139115610944
217,0,2.2896526, -2.5278356,0.9976389664874868
218,0,2.8346035, -2.3099644,0.9984187002473895
219,0,1.6538129, -1.2211733,0.9821361069418232
220,0,1.2593608, -1.314809,0.974854638943135
221,0,3.7439475, -2.4446523,0.9977082356892649
222,0,2.1505942, -1.941349,0.9905537797360229
223,0,3.1064157, -3.2300854,0.9980665955498067
224,0,4.48376, -3.7780242,0.9949716638275469
225,0,3.329059, -2.559875,0.9982749670615078
226,1,-2.7973835, 3.578448,0.1147947618046861
227,0,3.3226802, -3.1650667,0.99793303660719
228,0,2.792114, -2.6379352,0.9985471676539286
229,0,2.9118726, -2.5564072,0.9985215823593296
230,0,2.9504333, -1.4455984,0.9871622455389985
231,0,2.7843406, -1.8223318,0.9958240001554827
232,0,3.717322, -3.9581282,0.9957149661947549
233,0,2.499725, -2.5526714,0.9983566143007269
234,0,2.0391328, -0.9349945,0.97860860071768
235,0,3.358776, -2.9137151,0.998132660719955
236,0,1.9667203, -2.606874,0.9950917893747423
237,0,1.8282655, -1.7835326,0.9895987869671549
238,0,1.9660089, -1.6144302,0.9895334643696515
239,0,2.4309058, -2.6890216,0.998433958270026
240,0,1.9339889, -1.8972088,0.9897587733188717
241,0,3.062605, -3.1562762,0.998160715642861
242,0,2.9450116, -3.1316795,0.9982478110854305
243,0,2.8419235, -2.4724567,0.998525790856255
244,0,1.1971498, -0.36161572,0.9290852304653621
245,0,2.2076113, -1.6139731,0.9898239224525062
246,0,3.814318, -2.6474886,0.9975968006437425
247,0,1.8455045, -2.1443264,0.9898952241082386
248,0,3.5084689, -3.2526436,0.9973902823099356
249,0,2.2656658, -3.0595818,0.9983954361263803
250,0,1.6677121, -0.31992579,0.9619126401799387
251,0,2.8497424, -1.1711401,0.9752778795919127
252,0,2.7614086, -3.2936108,0.9982053595463437
253,0,3.318199, -2.6291537,0.998267577781995
254,0,3.3251283, -3.258141,0.997783984283829
255,1,-0.5191327, 1.2610035,0.29947870380288366
256,0,0.3693552, -0.9467629,0.9120967767085887
257,0,2.279755, -2.538456,0.9976380114995528
258,0,2.1881192, -2.2531302,0.9938786877626745
259,0,2.814051, -2.0890644,0.9978893412623717
260,0,2.1452022, -1.1425136,0.986555162438342
261,0,3.8823643, -3.9886262,0.9956291623392567
262,0,2.096268, -1.7423185,0.9898397578345738
263,0,1.9654124, -1.8651849,0.9897750679356444
264,0,3.0234256, -3.2741487,0.9980822227089884
265,0,2.0555582, -3.1440508,0.9975637623038142
266,0,1.9390913, -1.2207414,0.9861771740202124
267,0,3.826834, -3.4740262,0.9960007853042048
268,1,-1.2994659, 1.8675258,0.181717561309603
269,0,3.0706716, -2.587404,0.9984301788903545
270,0,1.6032393, -2.1381702,0.9895561444131116
271,0,3.382426, -2.8639042,0.9981449879908523
272,0,0.614873, -0.9461033,0.9404803576139257
273,0,1.725652, -1.281492,0.9848426111300441
274,0,3.7362502, -3.04694,0.9972025784392285
275,0,4.3566327, -3.6525457,0.9954479597829056
276,0,2.259371, -2.1105087,0.9930652460310833
277,0,1.3119124, -0.8410975,0.9661284842647792
278,0,0.8644825, -0.7128895,0.9391359461288529
279,0,2.004711, -1.5380337,0.989434004596448
280,0,-0.11512843, 0.901001,0.34143233041364013
281,0,3.686115, -4.111756,0.9956492750062275
282,0,2.6057017, -2.5258791,0.9984491032924476
283,0,2.6519911, -2.739007,0.9985572035266763
284,0,2.9816396, -3.360332,0.9980153425608969
285,0,2.2865832, -1.1476151,0.9875400049097393
286,0,3.0504296, -3.398518,0.9979034841690817
287,0,2.713389, -2.8994083,0.9985123592405747
288,0,2.3028, -2.574151,0.99789972729476
289,0,0.7643342, -0.12723094,0.8192915368218326
290,0,1.1732178, -1.1045914,0.9674884903532386
291,0,2.5429296, -1.9348805,0.9946477116659752
292,1,-0.90891045, 1.5508891,0.1932242044556483
293,0,2.103311, -1.418423,0.989239367278607
294,1,-0.34160155, 1.6700021,0.22567861415502882
295,0,2.686261, -2.3786976,0.9983587887830048
296,0,1.8123155, -1.8183341,0.9896129685125404
297,0,0.8871444, -1.0723412,0.959129853087183
298,0,1.9220933, -1.545489,0.9893091167890495
299,0,3.7587748, -3.5773625,0.9959738857282016
300,0,2.5824525, -2.884247,0.998549344840671
301,1,0.5087866, 1.0892082,0.3531113767341562
302,0,2.5346797, -2.1216486,0.9965762374175764
303,0,0.82852656, -0.9029282,0.9508320380312969
304,0,2.1065953, -2.4403083,0.9951041292487506
305,0,2.29593, -1.5913943,0.9899518966913766
306,0,2.4581552, -2.319415,0.9974617968617391
307,0,2.6482842, -2.4504678,0.9984097461966059
308,0,2.5742805, -3.1856062,0.998372621405234
309,1,-3.2155697, 3.470207,0.11474155191488987
310,0,1.0589247, 0.2564258,0.7988542722535454
311,0,3.9230943, -3.9098327,0.995637276436991
312,0,1.5614051, -1.3111982,0.9827562496076601
313,0,2.6611984, -3.2741873,0.9982552394716572
314,1,0.99615186, -0.42854357,0.9107314338650095
315,0,3.0907245, -2.792787,0.99833797977639
316,0,2.4061651, -2.0307186,0.994066483790476
317,0,2.088575, -1.9868455,0.9904090530629333
318,0,0.19470498, -0.14636323,0.7924705001513825
319,1,-2.411263, 3.029556,0.11498659753214555
320,0,2.207093, -2.1484,0.9928240701640263
321,0,2.1653025, -2.067946,0.9914971773643997
322,0,3.5785563, -3.0996847,0.9975688004739922
323,0,3.251025, -1.8349221,0.9959398742376754
324,0,1.8056786, -1.1186922,0.9816674693256313
325,1,-1.0826116, 2.7630641,0.14196745472586353
326,0,2.392729, -2.4670956,0.9978561319912648
327,0,1.6216435, -2.139608,0.9895723470449465
328,0,3.7008, -3.4220102,0.9963352583919588
329,0,2.896242, -2.262473,0.998405266021744
330,0,3.6262875, -3.3633091,0.9966993020997235
331,0,1.95632, -1.6455581,0.9895689041198462
332,0,0.5395386, 0.2931891,0.7407094311335439
333,0,3.3176904, -2.6857338,0.9982528453861208
334,0,0.9656101, -0.6470293,0.9415241513540249
335,0,2.2134993, -2.6031954,0.9975908514320944
336,0,1.6948235, -2.739768,0.9916210403534781
337,0,3.8088207, -3.7733023,0.9957672765688879
338,0,3.4706244, -2.8588014,0.9980755891596188
339,0,2.0392401, -2.453442,0.9942792880559628
340,0,1.2552811, -1.1490972,0.9706684337073147
341,0,2.638259, -2.3852074,0.9982989577552585
342,0,1.6962945, -1.843676,0.9895339602811458
343,0,2.9314816, -2.386616,0.9985004549944905
344,0,2.0980582, -1.8292066,0.9899871398442712
345,0,3.1030042, -2.5913422,0.9984077044511909
346,1,-0.43308014, 0.8833797,0.33547116772414026
347,0,2.6573896, -2.1628084,0.997649837028904
348,0,0.37536144, -0.73741984,0.8688328500122225
349,0,2.8462374, -2.9444368,0.9984199043962299
350,0,2.169772, -2.3378055,0.9947131116161037
351,0,2.5756345, -2.5183978,0.9984103562736645
352,1,-0.12762694, 0.6021632,0.35965898146569797
353,0,2.853271, -1.9994359,0.9976132726205081
354,1,2.0419993, -1.7123744,0.9897285092627381
355,0,1.5177643, -1.9639912,0.9893761333628426
356,0,1.6501117, -1.6143478,0.9886298672493001
357,0,2.0183036, -2.086974,0.9904514120891245
358,0,1.6526948, -1.8050916,0.989405982321798
359,1,-1.6947436, 2.1308568,0.172607262838974
360,0,2.5637147, -1.9728632,0.995344610293114
361,0,1.1500024, -0.67247576,0.95602957853897
362,0,2.6482103, -2.958468,0.9985138768870715
363,0,2.4222, -1.9524937,0.99331762828375
364,0,0.35366297, -0.4045173,0.8147523661981876
365,0,2.2791958, -2.8431761,0.9983856149627441
366,0,2.2605698, -2.2431657,0.9947769076260304
367,0,0.7841029, 0.2201989,0.7873398157049997
